table_schema,table_name,pg_relation_size,in_gbs
common,audit_logs,124755968,0  GB
azure,sql_databases,11165696,0  GB
botx,botx_events,6135808,0  GB
common,user_login_sessions,5832704,0  GB
azure,sql_servers,2899968,0  GB
optix,executive_dashboard_cloud_cost_summary_unallocated,2088960,0  GB
optix,executive_dashboard_cloud_cost_summary_allocated,2056192,0  GB
azure,compute_allresources,1761280,0  GB
azure,backup_jobs,1253376,0  GB
common,api_metadata,1187840,0  GB
optix,executive_dashboard_cloud_cost_by_org_hierarchy_allocated,1163264,0  GB
optix,proposed_budget_staged_data,950272,0  GB
optix,cost_budget_info_temp,761856,0  GB
common,default_listing,647168,0  GB
optix,executive_dashboard_cloud_cost_by_org_hierarchy_unallocated,573440,0  GB
azure,network_interfaces,393216,0  GB
optix,cost_budget_info,327680,0  GB
azure,storage_accounts,286720,0  GB
azure,compute_snapshots,270336,0  GB
azure,compute_images,237568,0  GB
azure,compute_vms_additionaldata,237568,0  GB
azure,azure_disks,229376,0  GB
common,dashboard_details,212992,0  GB
optix,executive_dashboard_cloud_provider_account_summary_unallocated,180224,0  GB
aws,database_rds,172032,0  GB
optix,executive_dashboard_cloud_provider_account_summary_allocated,163840,0  GB
optix,executive_dashboard_cloud_cost_by_region_allocated,155648,0  GB
azure,network_security_groups,147456,0  GB
common,filters_metadata,147456,0  GB
azure,mysql_databases,139264,0  GB
azure,subscriptions_user_rel,139264,0  GB
azure,compute_vms_not_used,122880,0  GB
azure,mysql_servers,106496,0  GB
optix,executive_dashboard_cloud_cost_by_region_unallocated,98304,0  GB
azure,storage_containers,90112,0  GB
common,role_submenu_rel,90112,0  GB
slm,slm_csl_kpi_relationship,90112,0  GB
azure,network_vnet,81920,0  GB
azure,postgres_databases,81920,0  GB
common,dashboard_info,81920,0  GB
azure,location_data,73728,0  GB
azure,backup_policies,65536,0  GB
azure,storage_fileshares,65536,0  GB
common,app_config_options,65536,0  GB
common,user_specific_listing,65536,0  GB
azure,management_groups,57344,0  GB
common,image_repository,57344,0  GB
common,page_filter_definitions,57344,0  GB
azure,network_ips,49152,0  GB
azure,postgres_servers,49152,0  GB
common,sub_menus,49152,0  GB
azure,backup_protected_items,40960,0  GB
common,sub_menus_clone,40960,0  GB
aws,ec2_instance,32768,0  GB
aws,route53,32768,0  GB
azure,compute_allresource_grp,32768,0  GB
azure,network_route_tables,32768,0  GB
azure,ri_recommendations,32768,0  GB
common,product_release_notes,32768,0  GB
optix,budget_alerts,32768,0  GB
servicemaps,relationship_data,32768,0  GB
azure,backup,24576,0  GB
azure,vnet_peering,24576,0  GB
common,dashboard_user_rel,24576,0  GB
optix,data_source_display_names,24576,0  GB
slm,slm_csl_kpi_info,24576,0  GB
aws,auto_scaling_groups,16384,0  GB
aws,cloudformation,16384,0  GB
aws,ecr,16384,0  GB
aws,s3,16384,0  GB
aws,site_to_site_vpn_connections,16384,0  GB
aws,snapshots,16384,0  GB
aws,vpc_peering,16384,0  GB
azure,app_config_options,16384,0  GB
azure,network_appgateways,16384,0  GB
azure,network_watchers,16384,0  GB
azure,policy_assignments,16384,0  GB
common,oidc_properties,16384,0  GB
common,quick_links,16384,0  GB
common,sub_modules,16384,0  GB
common,user_group_rel,16384,0  GB
common,user_preferences,16384,0  GB
common,users,16384,0  GB
optix,app_config_options,16384,0  GB
aws,accounts,8192,0  GB
aws,ecs,8192,0  GB
aws,eks,8192,0  GB
aws,internetgateways,8192,0  GB
aws,lambda,8192,0  GB
aws,locations,8192,0  GB
aws,rbac_data,8192,0  GB
aws,securitygroups,8192,0  GB
aws,volumes,8192,0  GB
aws,vpc,8192,0  GB
azure,all_subscriptions,8192,0  GB
azure,az_tenants,8192,0  GB
azure,compute_scalesets,8192,0  GB
azure,network_app_security_groups,8192,0  GB
azure,network_lbs,8192,0  GB
azure,network_vnet_gateways,8192,0  GB
azure,policy_states,8192,0  GB
azure,sp_recommendations,8192,0  GB
azure,storage_accounts_metrics,8192,0  GB
botx,bot_event_status,8192,0  GB
common,banner_notifications,8192,0  GB
common,carousel_info,8192,0  GB
common,dashboard_link_type,8192,0  GB
common,dashboard_role_rel,8192,0  GB
common,dashboard_type,8192,0  GB
common,di_refresh_interval,8192,0  GB
common,groups,8192,0  GB
common,modules,8192,0  GB
common,org_hierarchy,8192,0  GB
common,organization_info,8192,0  GB
common,published_dashboard,8192,0  GB
common,role_type,8192,0  GB
common,roles,8192,0  GB
common,sector_info,8192,0  GB
common,user_specific_widget_info,8192,0  GB
optix,aws_cur_usage_start_date_vs_billing_date_segments_rel,8192,0  GB
optix,azure_cur_usage_start_date_vs_billing_date_segments_rel,8192,0  GB
optix,budget_scope,8192,0  GB
optix,budgets_rule_metrics,8192,0  GB
optix,cloud_providers,8192,0  GB
optix,cost_method_metadata,8192,0  GB
optix,cost_type_metadata,8192,0  GB
optix,custom_report_access_restrictions,8192,0  GB
optix,staged_data_preference_by_page,8192,0  GB
slm,slm_bundle,8192,0  GB
slm,slm_bundle_category_metadata,8192,0  GB
slm,slm_categories,8192,0  GB
slm,slm_csl_kpi_frequency,8192,0  GB
slm,slm_csl_kpi_index_type,8192,0  GB
slm,slm_csl_kpi_threshold,8192,0  GB
slm,slm_operators,8192,0  GB
slm,slm_status,8192,0  GB
slm,slm_widget_type,8192,0  GB
ausiytic,accounts,0,0  GB
ausiytic,accounts_vw,0,0  GB
ausiytic,app_config_options,0,0  GB
ausiytic,customers,0,0  GB
ausiytic,db_data_vizualization_access_control,0,0  GB
ausiytic,environments,0,0  GB
ausiytic,groups,0,0  GB
ausiytic,history_queries,0,0  GB
ausiytic,job_history,0,0  GB
ausiytic,jobs,0,0  GB
ausiytic,platform_k8s_pods_health,0,0  GB
ausiytic,platform_metadata,0,0  GB
ausiytic,platform_microservices_health,0,0  GB
ausiytic,platform_modules,0,0  GB
ausiytic,platform_modules_servers_rel,0,0  GB
ausiytic,platform_servers_health,0,0  GB
ausiytic,projects,0,0  GB
ausiytic,providers,0,0  GB
ausiytic,saved_queries,0,0  GB
ausiytic,test_transactions,0,0  GB
aws,accounts_region,0,0  GB
aws,cloudwatch_metrics,0,0  GB
aws,cluster_snapshot_inventory,0,0  GB
aws,database,0,0  GB
aws,db_snapshot,0,0  GB
aws,ec2_instance_temp,0,0  GB
aws,iam,0,0  GB
aws,instance,0,0  GB
aws,nacl,0,0  GB
aws,network_routetable,0,0  GB
aws,network_subnets,0,0  GB
aws,org_data,0,0  GB
aws,routetable,0,0  GB
aws,routetable_temp,0,0  GB
aws,security_group,0,0  GB
aws,subnet,0,0  GB
aws,volumes_temp,0,0  GB
azure,all_subscriptions_clone,0,0  GB
azure,all_subscriptions_resources_vw,0,0  GB
azure,compute_vms_additionaldata_clone_bkp,0,0  GB
azure,management_groups_clone,0,0  GB
common,api_role_rel,0,0  GB
common,charttype,0,0  GB
common,country_info,0,0  GB
common,dashboard_filter_info,0,0  GB
common,menu_access,0,0  GB
common,quick_links_vw,0,0  GB
common,rbac_vw,0,0  GB
common,role_menu_access_vw,0,0  GB
common,shared_untagged_ratecard,0,0  GB
common,user_group_access_vw,0,0  GB
common,user_group_roles_view,0,0  GB
common,user_login_sessions_vw,0,0  GB
common,user_role_authorizations,0,0  GB
common,veam_untagged_ec2_ratecard,0,0  GB
common,widget_info_messages,0,0  GB
common,widget_info_messages_clone,0,0  GB
healthindex,health_index_categories,0,0  GB
healthindex,health_index_kpi_metadata,0,0  GB
healthindex,health_index_kpi_metrics,0,0  GB
healthindex,health_index_kpi_type,0,0  GB
healthindex,health_index_status,0,0  GB
healthindex,health_index_threshold_type,0,0  GB
healthindex,health_indices,0,0  GB
optix,aws_cur_product_metadata,0,0  GB
optix,cost_allocation_credit_line_items,0,0  GB
optix,cost_budget_constraints,0,0  GB
optix,cost_budget_info_1,0,0  GB
optix,cost_budget_info_old04,0,0  GB
optix,cost_budget_rules_tfs_temp,0,0  GB
optix,ingestion_azure_metadata_v5_amortized,0,0  GB
optix,usage_start_test,0,0  GB
servicemaps,asset_properties,0,0  GB
servicemaps,asset_properties_test,0,0  GB
servicemaps,asset_type_definitions,0,0  GB
servicemaps,azure_network_relations,0,0  GB
servicemaps,cmdb,0,0  GB
servicemaps,edge_definitions,0,0  GB
servicemaps,postgres_schema,0,0  GB
servicemaps,test_relationship_data,0,0  GB
slm,slm_assignment_group,0,0  GB